WKT;@id;admin_level;boundary;complete:relation;land_area;name;name:en;name:en1;name:he;name:ru;place;place_name;place_name:en;place_name:he;place_name:ru;type;wikipedia;int_name;name:ar;name:de;note;place_name:ar;population;wikipedia:en;wikipedia:ru;landuse;contact:website;name:et;name:hi;name:lb;place_name:de;place_name:he2;website;area;addr:postcode;date;source;@relations;history;fixme;name:lt
"POLYGON ((34.7805724 31.941089,34.7791991 31.9363546,34.7809157 31.9365003,34.7802071 31.9341264,34.7791991 31.9307495,34.777714 31.9242199,34.7794864 31.9250791,34.7797284 31.9258772,34.7800534 31.9259205,34.7804445 31.9236066,34.7793346 31.9233995,34.7791023 31.9214157,34.7786839 31.921137,34.7787311 31.9161356,34.7758992 31.9163943,34.7732557 31.9158688,34.7734485 31.9123182,34.7743926 31.9102053,34.7723327 31.9100596,34.7713757 31.9128465,34.7704496 31.912842,34.7683888 31.9128319,34.7651444 31.9131962,34.7645221 31.914504,34.7616897 31.9150139,34.7583423 31.9113711,34.7594354 31.9100024,34.7617755 31.9070723,34.7628048 31.9055598,34.7646794 31.9051048,34.7656379 31.904595,34.7651196 31.903208,34.7697985 31.9030147,34.7750728 31.9019727,34.7752641 31.8998539,34.7749527 31.8987119,34.7776668 31.8988478,34.7800097 31.8973968,34.7821407 31.896903,34.7841355 31.8964783,34.7899813 31.905217,34.7903774 31.9051933,34.7928166 31.9060266,34.7930108 31.9064786,34.7935462 31.9064978,34.7939754 31.9066804,34.7958207 31.9073853,34.7966168 31.907445,34.7973528 31.9084801,34.7987798 31.9102355,34.7996609 31.9120408,34.8010168 31.91184,34.8029785 31.9118172,34.8036358 31.9137646,34.8061668 31.9134095,34.8066549 31.9136355,34.8078026 31.9157233,34.80841 31.9167801,34.8099201 31.9193861,34.8156576 31.9212825,34.8156758 31.9244103,34.8153099 31.9248529,34.8194524 31.925066,34.823877 31.9261259,34.8228856 31.9306751,34.8212892 31.9307953,34.8215123 31.9323505,34.8222848 31.9348999,34.8181006 31.9348198,34.8186799 31.9368666,34.8187657 31.9396344,34.8147825 31.940213,34.8052021 31.9416046,34.8051163 31.9442266,34.8010007 31.9448821,34.8004466 31.9418255,34.8003141 31.9410948,34.7895852 31.9411676,34.7884514 31.9411577,34.7864561 31.9411403,34.7861017 31.9411372,34.7844497 31.9411228,34.7805724 31.941089))";relation/1246731;8;administrative;yes;administrative;נס ציונה;Ness Ziona;Nes Ziona;נס ציונה;Нес-Циона;town;נס ציונה;Ness Ziona;נס ציונה;Нес-Циона;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((34.8156576 31.9212825,34.8099201 31.9193861,34.80841 31.9167801,34.8078026 31.9157233,34.8066549 31.9136355,34.8061668 31.9134095,34.8036358 31.9137646,34.8029785 31.9118172,34.8010168 31.91184,34.7996609 31.9120408,34.7987798 31.9102355,34.7973528 31.9084801,34.7966168 31.907445,34.7958207 31.9073853,34.7939754 31.9066804,34.7935462 31.9064978,34.7930108 31.9064786,34.7928166 31.9060266,34.7903774 31.9051933,34.7899813 31.905217,34.7841355 31.8964783,34.7821407 31.896903,34.7800097 31.8973968,34.7776668 31.8988478,34.7749527 31.8987119,34.7752641 31.8998539,34.7750728 31.9019727,34.7697985 31.9030147,34.7651196 31.903208,34.7645188 31.9007306,34.7625446 31.898253,34.7643471 31.8970143,34.7663212 31.8964313,34.768467 31.8936622,34.768467 31.8922776,34.7703252 31.8916035,34.7741361 31.8899164,34.7781186 31.8872455,34.7758484 31.8824391,34.7904396 31.876171,34.7915292 31.877926,34.7910636 31.8813217,34.7939958 31.8822564,34.7947254 31.8827852,34.7951145 31.8829461,34.7954382 31.8832629,34.7966516 31.8829973,34.7977352 31.8828789,34.7987272 31.8828171,34.7986268 31.8814108,34.7994736 31.8813602,34.8016634 31.8815741,34.8019364 31.881713,34.8025885 31.8817941,34.8025519 31.8812172,34.8025203 31.8807717,34.803587 31.8806749,34.8035495 31.8804198,34.8047895 31.8800829,34.8042772 31.8742819,34.8042294 31.8737404,34.8040631 31.8718581,34.8050846 31.8716022,34.8083782 31.8707773,34.8117256 31.8686634,34.8148818 31.8664407,34.8158085 31.8676612,34.8161051 31.8679384,34.8173184 31.8688509,34.8173974 31.8689088,34.8198472 31.8697031,34.8197416 31.8706584,34.8194388 31.8733967,34.8193368 31.8743197,34.8183867 31.8790464,34.8207601 31.8798793,34.821035 31.8799798,34.8236278 31.8806666,34.8246569 31.8808033,34.8246543 31.8810287,34.8270346 31.8803951,34.8272744 31.8804122,34.8282632 31.8797315,34.8355027 31.8869586,34.84194 31.8957764,34.8462316 31.9019703,34.8508825 31.9064097,34.8497871 31.9073031,34.8487732 31.9072713,34.8485179 31.9089553,34.8444366 31.9085473,34.8437296 31.9094207,34.8422705 31.9093005,34.8419926 31.9109516,34.840688 31.9109352,34.8392278 31.9109088,34.8378459 31.9111875,34.8353536 31.9107686,34.835433 31.9122704,34.8342153 31.9125353,34.8332454 31.9128542,34.8344813 31.9153694,34.8336145 31.9171981,34.831297 31.9163967,34.8299752 31.9178975,34.8277887 31.9171272,34.8244359 31.915242,34.8218084 31.9178029,34.8204813 31.9185751,34.8199105 31.9191261,34.8191767 31.9187145,34.8175942 31.9201597,34.816929 31.9211769,34.8156576 31.9212825),(34.8007395 31.8859766,34.7984742 31.8863982,34.7966436 31.8867693,34.7982297 31.8916692,34.8039742 31.8905904,34.8038256 31.8902064,34.8025316 31.8883977,34.8024707 31.8883311,34.8024335 31.8882904,34.8017139 31.8871259,34.8007395 31.8859766))";relation/1246791;8;administrative;yes;administrative;רחובות;Rehovot;;רחובות;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((35.7532845 33.2435166,35.7568681 33.2412819,35.7616411 33.2408669,35.7595659 33.2381691,35.7637164 33.2384803,35.77264 33.2387916,35.7729761 33.238672,35.778762 33.2366126,35.779165 33.2371136,35.7826013 33.2413857,35.7870631 33.2419045,35.7937039 33.2429422,35.7977507 33.2446024,35.7999854 33.2535073,35.7985439 33.2536796,35.7927034 33.2519464,35.7887064 33.2536187,35.78665 33.2552259,35.7847491 33.2562209,35.7830807 33.2562433,35.7819883 33.2576873,35.7837537 33.2592715,35.786047 33.2614912,35.7857074 33.2620263,35.7851605 33.2622959,35.7824046 33.2627272,35.7805951 33.2645777,35.7792312 33.2654808,35.7782318 33.2671305,35.7778515 33.2698436,35.7777928 33.2710125,35.7773872 33.2738093,35.7771252 33.2745227,35.7774714 33.2749958,35.7774064 33.2767315,35.7881148 33.2911814,35.7811295 33.2989612,35.7769946 33.2982367,35.7710422 33.2942685,35.7588367 33.2842682,35.7555435 33.2908547,35.7530102 33.289588,35.7568101 33.2728684,35.7550368 33.2652686,35.7601033 33.2579221,35.7601033 33.2518423,35.7532845 33.2435166))";relation/1375242;8;administrative;yes;;מג'דל א-שמס;Majdal al-Shams;;מג'דל א-שמס;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((35.7521827 33.2045385,35.7528313 33.1993503,35.7656395 33.1815161,35.7956335 33.191406,35.7964441 33.1948107,35.7946607 33.1967562,35.8003352 33.2032414,35.8100608 33.2033039,35.8090303 33.2114198,35.8087149 33.2161551,35.8071866 33.2206071,35.8074108 33.2251054,35.808441 33.2291967,35.8086296 33.2360631,35.8068566 33.2393237,35.8034157 33.2372886,35.8055234 33.2350188,35.8011459 33.2304792,35.7870406 33.2251289,35.7818803 33.2255192,35.7679093 33.2265881,35.7672608 33.218968,35.7627212 33.216536,35.7609408 33.2169317,35.7598028 33.2171846,35.7546147 33.2132934,35.7547768 33.206484,35.7521827 33.2045385))";relation/1375243;8;administrative;yes;;בוקעאתא;Bukata;;בוקעאתא;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((35.7521827 33.2045385,35.7547768 33.206484,35.7546147 33.2132934,35.7598028 33.2171846,35.7609408 33.2169317,35.7627212 33.216536,35.7672608 33.218968,35.7679093 33.2265881,35.7818803 33.2255192,35.7870406 33.2251289,35.8011459 33.2304792,35.8055234 33.2350188,35.8034157 33.2372886,35.8068566 33.2393237,35.8053541 33.2438175,35.8047887 33.2471437,35.802605 33.2497726,35.8023339 33.2517161,35.7999854 33.2535073,35.7977507 33.2446024,35.7937039 33.2429422,35.7870631 33.2419045,35.7826013 33.2413857,35.779165 33.2371136,35.778762 33.2366126,35.7729761 33.238672,35.77264 33.2387916,35.7637164 33.2384803,35.7595659 33.2381691,35.7616411 33.2408669,35.7568681 33.2412819,35.7532845 33.2435166,35.7469068 33.2382728,35.7461839 33.2351809,35.7481295 33.232749,35.7422928 33.2267502,35.7442384 33.2249668,35.7442384 33.220265,35.7521827 33.2045385))";relation/1375244;8;administrative;yes;;מסעדה;Masade;;מסעדה;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((35.7422928 33.2267502,35.7481295 33.232749,35.7461839 33.2351809,35.7469068 33.2382728,35.7447248 33.2421525,35.7445627 33.250259,35.7364562 33.2507454,35.7252097 33.242827,35.7205675 33.2395584,35.7194326 33.2361537,35.7207296 33.2329111,35.724945 33.2308034,35.7273769 33.2261017,35.7332136 33.2251289,35.7392124 33.225291,35.7422928 33.2267502))";relation/1375245;8;administrative;yes;;עין קיניא;Ein Kinya;;עין קיניא;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((34.8110373 30.6153858,34.8156722 30.6156813,34.8167022 30.614204,34.8191054 30.6122834,34.8227103 30.6119879,34.8242553 30.6106583,34.8281177 30.6105105,34.8300918 30.6094763,34.8336108 30.6094763,34.8337825 30.6082205,34.8365291 30.606817,34.8379024 30.6048962,34.8403056 30.6048962,34.8413356 30.6054872,34.8428805 30.6049701,34.8452838 30.6051179,34.8460563 30.6037881,34.8462279 30.6013502,34.8469146 30.6005376,34.8481162 30.5999465,34.8493178 30.6000204,34.8501761 30.6005376,34.8508628 30.6005376,34.8524077 30.5964742,34.8523219 30.5943316,34.8509486 30.593445,34.8470862 30.5927062,34.8457129 30.5918196,34.8431938 30.5857018,34.8434127 30.5840134,34.8457172 30.5802265,34.8476871 30.5785195,34.8486526 30.5778618,34.8519786 30.5762287,34.8554976 30.5764504,34.8567851 30.577485,34.8589309 30.5819925,34.8611625 30.5831009,34.8658832 30.5847264,34.8704322 30.5881253,34.8747237 30.5879775,34.8772128 30.5864998,34.881676 30.5872387,34.8854526 30.5889381,34.88777 30.5893075,34.8908599 30.5924107,34.8976405 30.6030494,34.8970397 30.6059305,34.8954947 30.6075557,34.9026187 30.6150165,34.8935206 30.6192231,34.8910315 30.6181188,34.8893149 30.6210697,34.8844226 30.6225469,34.877127 30.6190754,34.8731788 30.6173063,34.8686297 30.6166415,34.8486526 30.6172399,34.8402198 30.6252059,34.8364432 30.6276432,34.8301776 30.6339208,34.8305209 30.6349547,34.8352416 30.6391642,34.8349841 30.6427827,34.8308642 30.6475087,34.8347266 30.6520867,34.8342975 30.6543019,34.8318084 30.6614638,34.8447688 30.6614638,34.8475154 30.6617591,34.8556693 30.6618329,34.8557551 30.679846,34.8243411 30.679034,34.8039992 30.6795507,34.8029693 30.6788125,34.803231 30.6757195,34.8050292 30.6709137,34.8047073 30.6672704,34.808338 30.6642398,34.8093465 30.6615154,34.7721603 30.6609469,34.772332 30.6475087,34.7762802 30.6393119,34.7783401 30.6367272,34.7781685 30.6355455,34.772847 30.6345855,34.7730186 30.6326653,34.7765377 30.6294157,34.776366 30.6283817,34.7737911 30.6265353,34.7705296 30.626683,34.7690704 30.6279386,34.7670105 30.6272739,34.766753 30.6248366,34.7658947 30.6235809,34.7643497 30.6236548,34.762719 30.6243195,34.760144 30.6235809,34.7584274 30.6215867,34.7585133 30.6199617,34.7590282 30.6191492,34.7589424 30.6183404,34.7579124 30.6176757,34.7565392 30.616937,34.7519043 30.6117663,34.7474969 30.609661,34.7415188 30.6077773,34.740918 30.5774111,34.7416046 30.5768199,34.7472694 30.577485,34.7616032 30.5890858,34.7833999 30.5983951,34.7907813 30.5991339,34.7962745 30.600242,34.800566 30.6017935,34.8033984 30.6031232,34.8064883 30.6051179,34.8087199 30.6074818,34.8108657 30.6116186,34.8110373 30.6153858))";relation/1376758;8;administrative;yes;;מצפה רמון;Mizpe Ramon;;;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((34.9592655 31.0126295,34.939267 31.0131445,34.8767865 31.0123353,34.8745549 31.0135858,34.87198 31.0134387,34.8706239 31.0124493,34.8690618 31.0119675,34.8665727 31.0062295,34.8667444 31.0034339,34.867946 31.0024039,34.867946 31.0014475,34.8665727 31.0000497,34.8675168 30.9967389,34.8692334 30.995639,34.8694909 30.9935789,34.8706926 30.9912244,34.8722375 30.9890906,34.8736108 30.9888699,34.8754991 30.9890906,34.875778 30.9683536,34.8862279 30.9592862,34.8987549 30.9593598,34.94888 30.9586238,34.9574706 30.9644363,34.9631279 30.9585502,34.9641579 30.9582558,34.9663895 30.960243,34.9652737 30.9628191,34.9681061 30.9647326,34.9705094 30.9652478,34.9737709 30.9707675,34.9779766 30.9700316,34.9832123 30.9705467,34.9866455 30.9726809,34.991967 30.9756246,34.9949711 30.9762133,34.9953144 30.9781266,34.9944561 30.9801871,34.9961727 30.9825418,34.9922245 30.9838663,34.9876755 30.984455,34.9824398 30.987104,34.9707669 30.9899736,34.9647587 30.9899736,34.9597805 30.9885756,34.9592655 31.0126295))";relation/1376764;8;administrative;yes;;ירוחם;Yeroham;;;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((34.7386009 31.1301103,34.7386009 31.1279061,34.7829711 31.1229099,34.7834861 31.1201177,34.7883784 31.1201177,34.8053729 31.1187951,34.812823 31.1212272,34.8050725 31.1376774,34.8050253 31.1411633,34.8064029 31.1530303,34.8054201 31.1570004,34.7385151 31.1570702,34.7386009 31.1301103))";relation/1376773;8;administrative;yes;;רמת חובב;Ramat Hovav;;;;;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
"POLYGON ((34.5142833 31.627189,34.515528 31.626929,34.5217931 31.6269041,34.5258359 31.624339,34.5339816 31.6192549,34.5399039 31.6241518,34.5363849 31.6266366,34.5358699 31.6279521,34.5465086 31.6279521,34.5575808 31.6285368,34.567623 31.635187,34.5803259 31.6406676,34.5866688 31.6367143,34.5902823 31.6350409,34.5927671 31.6407626,34.5934537 31.6441969,34.5938421 31.6461822,34.5949263 31.6484382,34.5992044 31.6526726,34.6002343 31.6555585,34.6013501 31.6568371,34.6069506 31.6619146,34.6071437 31.6636131,34.6071437 31.6688729,34.6077016 31.6707357,34.6090105 31.6729271,34.6099763 31.6763255,34.6092355 31.6823163,34.609251 31.6833836,34.6094302 31.6844349,34.6096818 31.6852904,34.6105224 31.6869392,34.6107563 31.686831,34.6119874 31.6892302,34.6128361 31.6908926,34.6135393 31.6924884,34.6144137 31.695018,34.6131105 31.6954676,34.6116159 31.6960746,34.6115934 31.6963357,34.6110913 31.6962727,34.6106128 31.6962389,34.6100018 31.6962294,34.6095061 31.696223,34.609468 31.695364,34.609376 31.6950111,34.6092685 31.6947227,34.6091183 31.6943856,34.6089385 31.6940421,34.608703 31.6936909,34.6083211 31.6932326,34.6074545 31.6938787,34.6071914 31.6936391,34.6068864 31.6933657,34.6065732 31.6931308,34.6062394 31.6929244,34.6058958 31.6927521,34.6053897 31.6926188,34.6047634 31.6925211,34.6041631 31.6924999,34.6037672 31.69252,34.6027064 31.6956953,34.5977948 31.6984941,34.5986724 31.6991505,34.5997276 31.6998743,34.6007575 31.7005023,34.6018446 31.701087,34.6029693 31.7015229,34.6043283 31.7019177,34.6056966 31.7022002,34.6068799 31.7023526,34.6083401 31.7026,34.6094372 31.7027994,34.6089109 31.7057527,34.6094828 31.7063004,34.6071873 31.7074733,34.6069052 31.7076535,34.6082849 31.7087561,34.6065339 31.710086,34.6048479 31.7088177,34.6043093 31.7081802,34.6037493 31.7076321,34.6026254 31.7068708,34.602199 31.7064432,34.6019361 31.7058006,34.6017836 31.7050951,34.5984362 31.7022472,34.5962046 31.7019551,34.5941447 31.7010058,34.5931147 31.7018821,34.5938872 31.7058253,34.5911406 31.7088921,34.5895956 31.7089651,34.5877932 31.7108636,34.5847891 31.7121779,34.5845316 31.7137112,34.5814072 31.7153693,34.5673085 31.6948953,34.5655846 31.6926981,34.5628774 31.688471,34.5624686 31.6882569,34.5620335 31.6881632,34.5620027 31.6880794,34.5620702 31.6878466,34.5621174 31.6874764,34.5620178 31.6871463,34.5616981 31.6868698,34.5613574 31.6867137,34.5608123 31.6866825,34.5607754 31.6866534,34.5609557 31.68633,34.5610029 31.6860049,34.5609063 31.685729,34.5606142 31.6854841,34.5602107 31.6853143,34.5596289 31.68536,34.5595645 31.6853088,34.5597559 31.6847952,34.5597012 31.684622,34.5596237 31.684524,34.5592806 31.6842844,34.5583384 31.6837161,34.5580366 31.6834565,34.557479 31.6837103,34.5571712 31.6838109,34.556372 31.6838918,34.5563101 31.6839143,34.556219 31.6839319,34.5561589 31.6839216,34.5560902 31.6838793,34.5560644 31.6838076,34.5560816 31.6837536,34.55614 31.6837112,34.5562087 31.6837053,34.556263 31.6837401,34.5565935 31.6837299,34.5565925 31.6836542,34.5564593 31.6836565,34.5564593 31.6835873,34.556379 31.6835867,34.5563812 31.683552,34.5565932 31.6835481,34.5565906 31.6834889,34.5563727 31.683493,34.5563688 31.6834659,34.55642 31.6834645,34.5563925 31.6832581,34.557365 31.6826588,34.5572641 31.6825383,34.5573584 31.6824815,34.5567685 31.6817316,34.5566912 31.6817751,34.5566595 31.6817377,34.5566237 31.6816954,34.5566148 31.6816849,34.5567336 31.6816138,34.5554983 31.6800663,34.5543175 31.6807641,34.5541774 31.6806118,34.5539728 31.6809401,34.5538923 31.6812341,34.5538654 31.6814568,34.5539023 31.6816909,34.554005 31.681948,34.5560861 31.684988,34.5561499 31.6850422,34.5562237 31.6850993,34.5562103 31.6851707,34.55617 31.6852277,34.5560895 31.6852449,34.5559956 31.6852335,34.5559023 31.6851601,34.5536949 31.6819716,34.5536272 31.6817194,34.5536105 31.6814597,34.5536339 31.6811999,34.5537264 31.6809155,34.553852 31.6806832,34.5540298 31.6804063,34.5546336 31.680018,34.5546399 31.6797579,34.5545381 31.6793653,34.5543917 31.6789302,34.554345 31.6787721,34.5543164 31.6786421,34.5542565 31.678507,34.5541362 31.6784115,34.553938 31.6783274,34.5538409 31.6782972,34.5534988 31.678368,34.5529687 31.6782143,34.552842 31.6780378,34.5527809 31.6777457,34.5525427 31.6774973,34.5521503 31.6772661,34.552006 31.6771147,34.5518315 31.6766529,34.5516129 31.6746779,34.549132 31.6705025,34.5477297 31.6686342,34.542557 31.6612213,34.5410403 31.6598513,34.5380938 31.6557054,34.5318711 31.6470838,34.5295219 31.6451414,34.5287604 31.6441441,34.52853 31.6437851,34.5282333 31.6434793,34.5279011 31.6433407,34.527457 31.6435277,34.5274015 31.6435293,34.527382 31.6434848,34.5273983 31.643453,34.527659 31.6433345,34.5280049 31.6430588,34.5280524 31.6428562,34.5279704 31.6426235,34.5278299 31.6424373,34.5276854 31.6423709,34.5274862 31.642331,34.5273144 31.642311,34.5271465 31.642208,34.5262992 31.6411807,34.5262367 31.6410511,34.5262914 31.6408849,34.526182 31.6406488,34.5250046 31.6391191,34.5243247 31.6390681,34.5240331 31.6388711,34.5232267 31.638489,34.5226599 31.6387506,34.5225 31.6387947,34.5223221 31.6388288,34.5214864 31.6392679,34.5214728 31.6393157,34.5215724 31.6393939,34.5216073 31.6394552,34.5216144 31.6395215,34.5215964 31.639593,34.5215104 31.6396526,34.5214204 31.6396679,34.5213345 31.6396594,34.5212565 31.6396339,34.5211994 31.6395526,34.5208951 31.6385187,34.5209186 31.6384407,34.5210046 31.6383828,34.5210806 31.638376,34.5211725 31.6383981,34.5212145 31.6384577,34.5213092 31.6387516,34.5215284 31.6387437,34.521526 31.6386379,34.5228239 31.6378671,34.5228679 31.6379113,34.5224401 31.6381871,34.522552 31.6383301,34.522662 31.6382841,34.5227379 31.6382994,34.5231978 31.6380815,34.5237323 31.6377428,34.5237955 31.6376441,34.5237856 31.6375573,34.5237376 31.6374807,34.5236736 31.6375215,34.5234197 31.6372271,34.5235876 31.6371147,34.5232261 31.6366978,34.5230778 31.6366177,34.5228839 31.6365581,34.522646 31.6365581,34.5223983 31.6366271,34.5221491 31.6367353,34.5218252 31.6368987,34.5215553 31.6370774,34.5213534 31.63728,34.5212694 31.6374093,34.5212449 31.6375054,34.5211215 31.6376204,34.5210315 31.6376306,34.5209616 31.6375966,34.5209076 31.637538,34.5209016 31.6374774,34.5211655 31.6371455,34.5215154 31.6368425,34.5218238 31.6366476,34.5212948 31.6360113,34.5208696 31.6354944,34.5207057 31.635491,34.5204018 31.6352374,34.5201179 31.6353991,34.5200739 31.63568,34.5201457 31.6357715,34.5183726 31.6368406,34.5182806 31.6367302,34.5182066 31.6367693,34.5180646 31.6367693,34.5179307 31.6367438,34.5177807 31.6367591,34.5173749 31.6370076,34.5173449 31.6370757,34.517371 31.6371517,34.5178973 31.6378269,34.5179464 31.6378492,34.5179923 31.6378548,34.518042 31.637849,34.518475 31.6375754,34.5185108 31.6375344,34.5185139 31.6374987,34.5185057 31.6374577,34.5184386 31.6373587,34.5184446 31.6373199,34.5184806 31.6372774,34.5185252 31.6372738,34.5185646 31.6372876,34.5188744 31.6376569,34.5189024 31.6376348,34.5189504 31.6376944,34.5189162 31.6377204,34.5189305 31.6377601,34.5189172 31.6377915,34.5188873 31.6378087,34.5188536 31.6378114,34.5188134 31.6377978,34.5187268 31.6376948,34.5186787 31.6376686,34.5186224 31.6376669,34.5185603 31.6376888,34.5181363 31.6379403,34.518111 31.6379844,34.5181094 31.638036,34.5181323 31.6380855,34.5185425 31.6384766,34.5187259 31.6387765,34.5196349 31.6399654,34.5198474 31.6401568,34.5200348 31.6402499,34.5201126 31.6403262,34.5201254 31.6404281,34.5200941 31.6405345,34.5200348 31.6406036,34.5198942 31.6406382,34.5197616 31.6406312,34.5196171 31.6405507,34.5183125 31.638897,34.5179987 31.6383625,34.5169282 31.6371361,34.5168911 31.6370247,34.5169251 31.6369157,34.517001 31.6368221,34.517103 31.636783,34.5172509 31.6367625,34.5178243 31.6364561,34.5178467 31.6361872,34.5178167 31.6359523,34.5177028 31.6357174,34.5175088 31.6352204,34.517396 31.6346525,34.5174965 31.6343863,34.5176088 31.6341702,34.5182482 31.6338544,34.5187817 31.6335531,34.519383 31.6335798,34.5194017 31.6334096,34.5190331 31.6333191,34.5189144 31.6329228,34.5183361 31.6322336,34.5183583 31.6320185,34.5180678 31.6317366,34.5178382 31.6317391,34.5168148 31.6303529,34.51668 31.6302033,34.5162958 31.6300102,34.5160225 31.6297826,34.5156717 31.6295881,34.5153118 31.6289584,34.514981 31.6286802,34.5142833 31.627189))";relation/1376782;8;administrative;yes;;אשקלון;Ashkelon;;אשקלון;Ашкелон;city;;;;;boundary;;;;;;;;;;;;;;;;;;;;;;;;;
